SA3_CODE_2021,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P
11102,488.0,484.0,975.0,520.0,468.0,987.0,536.0,478.0,1016.0
11103,968.0,896.0,1865.0,956.0,943.0,1896.0,1005.0,960.0,1965.0
11201,390.0,389.0,782.0,473.0,386.0,861.0,446.0,420.0,866.0
11202,326.0,347.0,671.0,394.0,317.0,709.0,431.0,397.0,827.0
11203,472.0,455.0,925.0,491.0,401.0,897.0,582.0,486.0,1074.0
11301,352.0,310.0,667.0,304.0,310.0,616.0,327.0,349.0,675.0
11302,69.0,79.0,155.0,73.0,92.0,168.0,92.0,82.0,177.0
11303,627.0,613.0,1241.0,633.0,605.0,1240.0,692.0,624.0,1318.0
11401,548.0,542.0,1086.0,541.0,535.0,1074.0,578.0,542.0,1114.0
11402,251.0,252.0,505.0,273.0,252.0,525.0,291.0,272.0,564.0
11501,686.0,651.0,1337.0,770.0,704.0,1476.0,1037.0,978.0,2016.0
11502,111.0,101.0,205.0,130.0,119.0,246.0,152.0,136.0,290.0
11503,137.0,159.0,294.0,148.0,150.0,304.0,154.0,158.0,310.0
11504,452.0,410.0,860.0,466.0,416.0,883.0,441.0,474.0,913.0
11601,1040.0,934.0,1974.0,996.0,944.0,1936.0,976.0,957.0,1940.0
11602,1215.0,1208.0,2420.0,1208.0,1171.0,2382.0,1308.0,1282.0,2592.0
11603,894.0,865.0,1750.0,943.0,827.0,1773.0,930.0,964.0,1893.0
11701,354.0,345.0,696.0,363.0,345.0,705.0,317.0,264.0,574.0
11702,271.0,238.0,506.0,271.0,236.0,504.0,251.0,215.0,466.0
11703,856.0,839.0,1688.0,793.0,680.0,1474.0,573.0,561.0,1134.0
11801,671.0,656.0,1328.0,622.0,610.0,1230.0,610.0,615.0,1224.0
11802,735.0,667.0,1402.0,711.0,670.0,1379.0,726.0,665.0,1387.0
11901,1272.0,1270.0,2539.0,1366.0,1271.0,2639.0,1388.0,1305.0,2696.0
11902,940.0,938.0,1879.0,994.0,828.0,1820.0,887.0,934.0,1827.0
11903,711.0,620.0,1332.0,678.0,632.0,1312.0,742.0,650.0,1387.0
11904,851.0,780.0,1636.0,821.0,798.0,1613.0,799.0,765.0,1566.0
12001,497.0,456.0,950.0,506.0,435.0,936.0,459.0,463.0,920.0
12002,331.0,299.0,634.0,352.0,360.0,711.0,371.0,342.0,714.0
12003,795.0,718.0,1508.0,735.0,735.0,1472.0,703.0,733.0,1438.0
12101,636.0,659.0,1295.0,676.0,599.0,1272.0,781.0,715.0,1499.0
12102,535.0,492.0,1028.0,547.0,477.0,1021.0,644.0,510.0,1157.0
12103,501.0,489.0,983.0,569.0,497.0,1072.0,747.0,760.0,1503.0
12104,480.0,467.0,940.0,447.0,432.0,877.0,482.0,405.0,891.0
12201,240.0,228.0,470.0,201.0,224.0,429.0,252.0,244.0,496.0
12202,288.0,270.0,561.0,288.0,286.0,572.0,340.0,337.0,681.0
12203,837.0,803.0,1640.0,855.0,852.0,1708.0,971.0,949.0,1921.0
12301,544.0,543.0,1084.0,642.0,567.0,1206.0,633.0,601.0,1235.0
12302,1303.0,1362.0,2667.0,1333.0,1357.0,2690.0,1434.0,1322.0,2760.0
12303,318.0,314.0,632.0,364.0,302.0,660.0,349.0,310.0,656.0
12401,396.0,352.0,750.0,376.0,398.0,770.0,467.0,461.0,930.0
12402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12403,1213.0,1146.0,2354.0,1213.0,1121.0,2330.0,1226.0,1181.0,2410.0
12404,261.0,235.0,492.0,247.0,222.0,466.0,257.0,230.0,481.0
12405,437.0,438.0,879.0,459.0,403.0,863.0,383.0,400.0,779.0
12501,727.0,652.0,1379.0,665.0,565.0,1232.0,601.0,549.0,1151.0
12502,394.0,411.0,807.0,453.0,384.0,834.0,527.0,545.0,1069.0
12503,1238.0,1122.0,2358.0,1306.0,1223.0,2528.0,1220.0,1085.0,2307.0
12504,1048.0,981.0,2031.0,1034.0,1058.0,2088.0,1075.0,1034.0,2111.0
12601,230.0,262.0,492.0,255.0,246.0,503.0,344.0,331.0,675.0
12602,795.0,801.0,1604.0,791.0,815.0,1605.0,867.0,822.0,1686.0
12701,1295.0,1149.0,2446.0,1259.0,1194.0,2450.0,1258.0,1155.0,2413.0
12702,992.0,981.0,1970.0,1013.0,1008.0,2024.0,1115.0,1082.0,2199.0
12703,1090.0,989.0,2079.0,1083.0,989.0,2067.0,1060.0,1021.0,2078.0
12801,668.0,645.0,1311.0,745.0,586.0,1328.0,715.0,686.0,1407.0
12802,629.0,620.0,1247.0,655.0,704.0,1357.0,762.0,684.0,1447.0
