State,SA3_Code,SA3_Name,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
VIC,21104,Whitehorse - East,5 Year olds,96.89349112,97.18934911,0,0,0,0,0,0,96.74556213
VIC,21105,Yarra Ranges,5 Year olds,94.79553903,94.84864578,0,0,0,0,0,0,94.74243229
VIC,21201,Cardinia,5 Year olds,95.0828434,95.0828434,0,0,0,0,0,0,94.92250134
VIC,21202,Casey - North,5 Year olds,93.47198151,93.52975159,0,0,0,0,0,0,93.18313114
VIC,21203,Casey - South,5 Year olds,95.55193293,95.31904984,0,0,0,0,0,0,95.17931998
VIC,21204,Dandenong,5 Year olds,92.49084249,92.58241758,0,0,0,0,0,0,91.98717949
VIC,21205,Monash,5 Year olds,94.26229508,94.78922717,0,0,0,0,0,0,94.02810304
VIC,21301,Brimbank,5 Year olds,94.21734796,94.41674975,0,0,0,0,0,0,93.96809571
VIC,21302,Hobsons Bay,5 Year olds,94.44958372,94.54209066,0,0,0,0,0,0,94.26456984
VIC,21303,Maribyrnong,5 Year olds,94.54342984,94.54342984,0,0,0,0,0,0,93.8752784
VIC,21304,Melton - Bacchus Marsh,5 Year olds,95.90885552,95.67581564,0,0,0,0,0,0,95.57224236
VIC,21305,Wyndham,5 Year olds,95.20997375,95.16076115,0,0,0,0,0,0,94.83267717
VIC,21401,Frankston,5 Year olds,95.42114189,95.36461278,0,0,0,0,0,0,95.19502544
VIC,21402,Mornington Peninsula,5 Year olds,94.19113054,94.19113054,0,0,0,0,0,0,94.19113054
VIC,21501,Grampians,5 Year olds,92.87974684,92.56329114,0,0,0,0,0,0,92.56329114
VIC,21502,Mildura,5 Year olds,95.11111111,94.81481481,0,0,0,0,0,0,94.81481481
VIC,21503,Murray River - Swan Hill,5 Year olds,95.50827423,94.79905437,0,0,0,0,0,0,94.79905437
VIC,21601,Campaspe,5 Year olds,95.33169533,94.84029484,0,0,0,0,0,0,94.84029484
VIC,21602,Moira,5 Year olds,95.05813953,94.47674419,0,0,0,0,0,0,94.47674419
VIC,21603,Shepparton,5 Year olds,94.84173505,94.84173505,0,0,0,0,0,0,94.72450176
VIC,21701,Glenelg - Southern Grampians,5 Year olds,94.22572178,94.22572178,0,0,0,0,0,0,94.22572178
VIC,21702,Warrnambool - Otway Ranges,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
VIC,21703,Colac - Corangamite,5 Year olds,91.93154034,92.17603912,0,0,0,0,0,0,91.93154034
VIC,21704,Warrnambool,5 Year olds,96.17391304,96.34782609,0,0,0,0,0,0,96.17391304
WA,NM,Not mapped,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
